"REF_DATE","GEO","DGUID","Commodity","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada","2021A000011124","Wheat flour","Total disposition","Tonnes","288","thousands","3","v54326402","1.1.11","2655.17","","","","2"
"2025","Canada","2021A000011124","Wheat flour","Total disposition","Tonnes","288","thousands","3","v54326402","1.1.11","2800.56","","","","2"
"2021","Canada","2021A000011124","Wheat flour","Domestic disappearance","Tonnes","288","thousands","3","v108199","1.1.1","2219.82","","","","2"
"2022","Canada","2021A000011124","Wheat flour","Domestic disappearance","Tonnes","288","thousands","3","v108199","1.1.1","2308.09","","","","2"
"2023","Canada","2021A000011124","Wheat flour","Domestic disappearance","Tonnes","288","thousands","3","v108199","1.1.1","2362.01","","","","2"
"2024","Canada","2021A000011124","Wheat flour","Domestic disappearance","Tonnes","288","thousands","3","v108199","1.1.1","2337.72","","","","2"
"2025","Canada","2021A000011124","Wheat flour","Domestic disappearance","Tonnes","288","thousands","3","v108199","1.1.1","2500.84","","","","2"
"2021","Canada","2021A000011124","Wheat flour","Exports","Tonnes","288","thousands","3","v108205","1.1.7","169.06","","","","2"
"2022","Canada","2021A000011124","Wheat flour","Exports","Tonnes","288","thousands","3","v108205","1.1.7","188.09","","","","2"
"2023","Canada","2021A000011124","Wheat flour","Exports","Tonnes","288","thousands","3","v108205","1.1.7","211.82","","","","2"
"2024","Canada","2021A000011124","Wheat flour","Exports","Tonnes","288","thousands","3","v108205","1.1.7","220.05","","","","2"
"2025","Canada","2021A000011124","Wheat flour","Exports","Tonnes","288","thousands","3","v108205","1.1.7","195.52","","","","2"
"2021","Canada","2021A000011124","Wheat flour","Manufacturing","Tonnes","288","thousands","3","v108206","1.1.8","92.49","","","","2"
"2022","Canada","2021A000011124","Wheat flour","Manufacturing","Tonnes","288","thousands","3","v108206","1.1.8","96.17","","","","2"
"2023","Canada","2021A000011124","Wheat flour","Manufacturing","Tonnes","288","thousands","3","v108206","1.1.8","98.42","","","","2"
"2024","Canada","2021A000011124","Wheat flour","Manufacturing","Tonnes","288","thousands","3","v108206","1.1.8","97.40","","","","2"
"2025","Canada","2021A000011124","Wheat flour","Manufacturing","Tonnes","288","thousands","3","v108206","1.1.8","104.20","","","","2"
"2021","Canada","2021A000011124","Wheat flour","Waste","Tonnes","288","thousands","3","v108207","1.1.9","0.00","","","","2"
"2022","Canada","2021A000011124","Wheat flour","Waste","Tonnes","288","thousands","3","v108207","1.1.9","0.00","","","","2"
"2023","Canada","2021A000011124","Wheat flour","Waste","Tonnes","288","thousands","3","v108207","1.1.9","0.00","","","","2"
"2024","Canada","2021A000011124","Wheat flour","Waste","Tonnes","288","thousands","3","v108207","1.1.9","0.00","","","","2"
"2025","Canada","2021A000011124","Wheat flour","Waste","Tonnes","288","thousands","3","v108207","1.1.9","0.00","","","","2"
"2021","Canada","2021A000011124","Wheat flour","Ending stocks","Tonnes","288","thousands","3","v108208","1.1.10","29.35","","","","2"
"2022","Canada","2021A000011124","Wheat flour","Ending stocks","Tonnes","288","thousands","3","v108208","1.1.10","32.19","","","","2"
"2023","Canada","2021A000011124","Wheat flour","Ending stocks","Tonnes","288","thousands","3","v108208","1.1.10","30.24","","","","2"
"2024","Canada","2021A000011124","Wheat flour","Ending stocks","Tonnes","288","thousands","3","v108208","1.1.10","28.37","","","","2"
"2025","Canada","2021A000011124","Wheat flour","Ending stocks","Tonnes","288","thousands","3","v108208","1.1.10","29.26","","","","2"
"2021","Canada","2021A000011124","Rye flour","Total supply","Tonnes","288","thousands","3","v108211","1.2.2","","x","","","2"
"2022","Canada","2021A000011124","Rye flour","Total supply","Tonnes","288","thousands","3","v108211","1.2.2","","x","","","2"
"2023","Canada","2021A000011124","Rye flour","Total supply","Tonnes","288","thousands","3","v108211","1.2.2","","x","","","2"
"2024","Canada","2021A000011124","Rye flour","Total supply","Tonnes","288","thousands","3","v108211","1.2.2","","x","","","2"
"2025","Canada","2021A000011124","Rye flour","Total supply","Tonnes","288","thousands","3","v108211","1.2.2","","x","","","2"
"2021","Canada","2021A000011124","Rye flour","Beginning stocks","Tonnes","288","thousands","3","v108212","1.2.3","","x","","","2"
"2022","Canada","2021A000011124","Rye flour","Beginning stocks","Tonnes","288","thousands","3","v108212","1.2.3","","x","","","2"
"2023","Canada","2021A000011124","Rye flour","Beginning stocks","Tonnes","288","thousands","3","v108212","1.2.3","","x","","","2"
"2024","Canada","2021A000011124","Rye flour","Beginning stocks","Tonnes","288","thousands","3","v108212","1.2.3","","x","","","2"
"2025","Canada","2021A000011124","Rye flour","Beginning stocks","Tonnes","288","thousands","3","v108212","1.2.3","","x","","","2"
"2021","Canada","2021A000011124","Rye flour","Production","Tonnes","288","thousands","3","v108213","1.2.4","","x","","","2"
"2022","Canada","2021A000011124","Rye flour","Production","Tonnes","288","thousands","3","v108213","1.2.4","","x","","","2"
"2023","Canada","2021A000011124","Rye flour","Production","Tonnes","288","thousands","3","v108213","1.2.4","","x","","","2"
"2024","Canada","2021A000011124","Rye flour","Production","Tonnes","288","thousands","3","v108213","1.2.4","","x","","","2"
"2025","Canada","2021A000011124","Rye flour","Production","Tonnes","288","thousands","3","v108213","1.2.4","","x","","","2"
"2021","Canada","2021A000011124","Rye flour","Imports","Tonnes","288","thousands","3","v108214","1.2.5","0.66","","","","2"
"2022","Canada","2021A000011124","Rye flour","Imports","Tonnes","288","thousands","3","v108214","1.2.5","0.58","","","","2"
"2023","Canada","2021A000011124","Rye flour","Imports","Tonnes","288","thousands","3","v108214","1.2.5","0.85","","","","2"
"2024","Canada","2021A000011124","Rye flour","Imports","Tonnes","288","thousands","3","v108214","1.2.5","0.50","","","","2"
"2025","Canada","2021A000011124","Rye flour","Imports","Tonnes","288","thousands","3","v108214","1.2.5","0.40","","","","2"
"2021","Canada","2021A000011124","Rye flour","Total disposition","Tonnes","288","thousands","3","v54326403","1.2.11","","x","","","2"
"2022","Canada","2021A000011124","Rye flour","Total disposition","Tonnes","288","thousands","3","v54326403","1.2.11","","x","","","2"
"2023","Canada","2021A000011124","Rye flour","Total disposition","Tonnes","288","thousands","3","v54326403","1.2.11","","x","","","2"
"2024","Canada","2021A000011124","Rye flour","Total disposition","Tonnes","288","thousands","3","v54326403","1.2.11","","x","","","2"
"2025","Canada","2021A000011124","Rye flour","Total disposition","Tonnes","288","thousands","3","v54326403","1.2.11","","x","","","2"
"2021","Canada","2021A000011124","Rye flour","Domestic disappearance","Tonnes","288","thousands","3","v108210","1.2.1","7.78","","","","2"
"2022","Canada","2021A000011124","Rye flour","Domestic disappearance","Tonnes","288","thousands","3","v108210","1.2.1","7.14","","","","2"
"2023","Canada","2021A000011124","Rye flour","Domestic disappearance","Tonnes","288","thousands","3","v108210","1.2.1","9.19","","","","2"
"2024","Canada","2021A000011124","Rye flour","Domestic disappearance","Tonnes","288","thousands","3","v108210","1.2.1","6.39","","","","2"
"2025","Canada","2021A000011124","Rye flour","Domestic disappearance","Tonnes","288","thousands","3","v108210","1.2.1","7.27","","","","2"
"2021","Canada","2021A000011124","Rye flour","Exports","Tonnes","288","thousands","3","v108216","1.2.7","1.77","","","","2"
"2022","Canada","2021A000011124","Rye flour","Exports","Tonnes","288","thousands","3","v108216","1.2.7","1.64","","","","2"
"2023","Canada","2021A000011124","Rye flour","Exports","Tonnes","288","thousands","3","v108216","1.2.7","2.08","","","","2"
"2024","Canada","2021A000011124","Rye flour","Exports","Tonnes","288","thousands","3","v108216","1.2.7","1.47","","","","2"
"2025","Canada","2021A000011124","Rye flour","Exports","Tonnes","288","thousands","3","v108216","1.2.7","1.76","","","","2"
"2021","Canada","2021A000011124","Rye flour","Waste","Tonnes","288","thousands","3","v108218","1.2.9","0.00","","","","2"
"2022","Canada","2021A000011124","Rye flour","Waste","Tonnes","288","thousands","3","v108218","1.2.9","0.00","","","","2"
"2023","Canada","2021A000011124","Rye flour","Waste","Tonnes","288","thousands","3","v108218","1.2.9","0.00","","","","2"
"2024","Canada","2021A000011124","Rye flour","Waste","Tonnes","288","thousands","3","v108218","1.2.9","0.00","","","","2"
"2025","Canada","2021A000011124","Rye flour","Waste","Tonnes","288","thousands","3","v108218","1.2.9","0.00","","","","2"
"2021","Canada","2021A000011124","Rye flour","Ending stocks","Tonnes","288","thousands","3","v108219","1.2.10","","x","","","2"
"2022","Canada","2021A000011124","Rye flour","Ending stocks","Tonnes","288","thousands","3","v108219","1.2.10","","x","","","2"
"2023","Canada","2021A000011124","Rye flour","Ending stocks","Tonnes","288","thousands","3","v108219","1.2.10","","x","","","2"
"2024","Canada","2021A000011124","Rye flour","Ending stocks","Tonnes","288","thousands","3","v108219","1.2.10","","x","","","2"
"2025","Canada","2021A000011124","Rye flour","Ending stocks","Tonnes","288","thousands","3","v108219","1.2.10","","x","","","2"
"2021","Canada","2021A000011124","Oatmeal and rolled oats","Total supply","Tonnes","288","thousands","3","v108222","1.3.2","","x","","","2"
"2022","Canada","2021A000011124","Oatmeal and rolled oats","Total supply","Tonnes","288","thousands","3","v108222","1.3.2","","x","","","2"
"2023","Canada","2021A000011124","Oatmeal and rolled oats","Total supply","Tonnes","288","thousands","3","v108222","1.3.2","","x","","","2"
"2024","Canada","2021A000011124","Oatmeal and rolled oats","Total supply","Tonnes","288","thousands","3","v108222","1.3.2","","x","","","2"
"2025","Canada","2021A000011124","Oatmeal and rolled oats","Total supply","Tonnes","288","thousands","3","v108222","1.3.2","","x","","","2"
"2021","Canada","2021A000011124","Oatmeal and rolled oats","Beginning stocks","Tonnes","288","thousands","3","v108223","1.3.3","","x","","","2"
"2022","Canada","2021A000011124","Oatmeal and rolled oats","Beginning stocks","Tonnes","288","thousands","3","v108223","1.3.3","","x","","","2"
"2023","Canada","2021A000011124","Oatmeal and rolled oats","Beginning stocks","Tonnes","288","thousands","3","v108223","1.3.3","","x","","","2"
"2024","Canada","2021A000011124","Oatmeal and rolled oats","Beginning stocks","Tonnes","288","thousands","3","v108223","1.3.3","","x","","","2"
"2025","Canada","2021A000011124","Oatmeal and rolled oats","Beginning stocks","Tonnes","288","thousands","3","v108223","1.3.3","","x","","","2"
"2021","Canada","2021A000011124","Oatmeal and rolled oats","Production","Tonnes","288","thousands","3","v108224","1.3.4","","x","","","2"
"2022","Canada","2021A000011124","Oatmeal and rolled oats","Production","Tonnes","288","thousands","3","v108224","1.3.4","","x","","","2"
"2023","Canada","2021A000011124","Oatmeal and rolled oats","Production","Tonnes","288","thousands","3","v108224","1.3.4","","x","","","2"
"2024","Canada","2021A000011124","Oatmeal and rolled oats","Production","Tonnes","288","thousands","3","v108224","1.3.4","","x","","","2"
"2025","Canada","2021A000011124","Oatmeal and rolled oats","Production","Tonnes","288","thousands","3","v108224","1.3.4","","x","","","2"
"2021","Canada","2021A000011124","Oatmeal and rolled oats","Imports","Tonnes","288","thousands","3","v108225","1.3.5","10.23","","","","2"
"2022","Canada","2021A000011124","Oatmeal and rolled oats","Imports","Tonnes","288","thousands","3","v108225","1.3.5","14.47","","","","2"
"2023","Canada","2021A000011124","Oatmeal and rolled oats","Imports","Tonnes","288","thousands","3","v108225","1.3.5","18.41","","","","2"
"2024","Canada","2021A000011124","Oatmeal and rolled oats","Imports","Tonnes","288","thousands","3","v108225","1.3.5","11.64","","","","2"
"2025","Canada","2021A000011124","Oatmeal and rolled oats","Imports","Tonnes","288","thousands","3","v108225","1.3.5","18.26","","","","2"
"2021","Canada","2021A000011124","Oatmeal and rolled oats","Total disposition","Tonnes","288","thousands","3","v54326404","1.3.11","","x","","","2"
"2022","Canada","2021A000011124","Oatmeal and rolled oats","Total disposition","Tonnes","288","thousands","3","v54326404","1.3.11","","x","","","2"
"2023","Canada","2021A000011124","Oatmeal and rolled oats","Total disposition","Tonnes","288","thousands","3","v54326404","1.3.11","","x","","","2"
"2024","Canada","2021A000011124","Oatmeal and rolled oats","Total disposition","Tonnes","288","thousands","3","v54326404","1.3.11","","x","","","2"
"2025","Canada","2021A000011124","Oatmeal and rolled oats","Total disposition","Tonnes","288","thousands","3","v54326404","1.3.11","","x","","","2"
"2021","Canada","2021A000011124","Oatmeal and rolled oats","Domestic disappearance","Tonnes","288","thousands","3","v108221","1.3.1","29.22","","","","2"
"2022","Canada","2021A000011124","Oatmeal and rolled oats","Domestic disappearance","Tonnes","288","thousands","3","v108221","1.3.1","61.96","","","","2"
"2023","Canada","2021A000011124","Oatmeal and rolled oats","Domestic disappearance","Tonnes","288","thousands","3","v108221","1.3.1","86.59","","","","2"
"2024","Canada","2021A000011124","Oatmeal and rolled oats","Domestic disappearance","Tonnes","288","thousands","3","v108221","1.3.1","142.66","","","","2"
"2025","Canada","2021A000011124","Oatmeal and rolled oats","Domestic disappearance","Tonnes","288","thousands","3","v108221","1.3.1","111.38","","","","2"
"2021","Canada","2021A000011124","Oatmeal and rolled oats","Exports","Tonnes","288","thousands","3","v108227","1.3.7","625.04","","","","2"
"2022","Canada","2021A000011124","Oatmeal and rolled oats","Exports","Tonnes","288","thousands","3","v108227","1.3.7","622.20","","","","2"
"2023","Canada","2021A000011124","Oatmeal and rolled oats","Exports","Tonnes","288","thousands","3","v108227","1.3.7","536.31","","","","2"
"2024","Canada","2021A000011124","Oatmeal and rolled oats","Exports","Tonnes","288","thousands","3","v108227","1.3.7","582.61","","","","2"
"2025","Canada","2021A000011124","Oatmeal and rolled oats","Exports","Tonnes","288","thousands","3","v108227","1.3.7","551.85","","","","2"
"2021","Canada","2021A000011124","Oatmeal and rolled oats","Waste","Tonnes","288","thousands","3","v108229","1.3.9","0.00","","","","2"
"2022","Canada","2021A000011124","Oatmeal and rolled oats","Waste","Tonnes","288","thousands","3","v108229","1.3.9","0.00","","","","2"
"2023","Canada","2021A000011124","Oatmeal and rolled oats","Waste","Tonnes","288","thousands","3","v108229","1.3.9","0.00","","","","2"
"2024","Canada","2021A000011124","Oatmeal and rolled oats","Waste","Tonnes","288","thousands","3","v108229","1.3.9","0.00","","","","2"
"2025","Canada","2021A000011124","Oatmeal and rolled oats","Waste","Tonnes","288","thousands","3","v108229","1.3.9","0.00","","","","2"
"2021","Canada","2021A000011124","Oatmeal and rolled oats","Ending stocks","Tonnes","288","thousands","3","v108230","1.3.10","","x","","","2"
"2022","Canada","2021A000011124","Oatmeal and rolled oats","Ending stocks","Tonnes","288","thousands","3","v108230","1.3.10","","x","","","2"
"2023","Canada","2021A000011124","Oatmeal and rolled oats","Ending stocks","Tonnes","288","thousands","3","v108230","1.3.10","","x","","","2"
"2024","Canada","2021A000011124","Oatmeal and rolled oats","Ending stocks","Tonnes","288","thousands","3","v108230","1.3.10","","x","","","2"
"2025","Canada","2021A000011124","Oatmeal and rolled oats","Ending stocks","Tonnes","288","thousands","3","v108230","1.3.10","","x","","","2"
"2021","Canada","2021A000011124","Pot and pearl barley","Total supply","Tonnes","288","thousands","3","v108233","1.4.2","","x","","","2"
"2022","Canada","2021A000011124","Pot and pearl barley","Total supply","Tonnes","288","thousands","3","v108233","1.4.2","","x","","","2"
"2023","Canada","2021A000011124","Pot and pearl barley","Total supply","Tonnes","288","thousands","3","v108233","1.4.2","","x","","","2"
"2024","Canada","2021A000011124","Pot and pearl barley","Total supply","Tonnes","288","thousands","3","v108233","1.4.2","","x","","","2"
"2025","Canada","2021A000011124","Pot and pearl barley","Total supply","Tonnes","288","thousands","3","v108233","1.4.2","","x","","","2"
"2021","Canada","2021A000011124","Pot and pearl barley","Beginning stocks","Tonnes","288","thousands","3","v108234","1.4.3","","x","","","2"
"2022","Canada","2021A000011124","Pot and pearl barley","Beginning stocks","Tonnes","288","thousands","3","v108234","1.4.3","","x","","","2"
"2023","Canada","2021A000011124","Pot and pearl barley","Beginning stocks","Tonnes","288","thousands","3","v108234","1.4.3","","x","","","2"
"2024","Canada","2021A000011124","Pot and pearl barley","Beginning stocks","Tonnes","288","thousands","3","v108234","1.4.3","","x","","","2"
"2025","Canada","2021A000011124","Pot and pearl barley","Beginning stocks","Tonnes","288","thousands","3","v108234","1.4.3","","x","","","2"
"2021","Canada","2021A000011124","Pot and pearl barley","Production","Tonnes","288","thousands","3","v108235","1.4.4","","x","","","2"
"2022","Canada","2021A000011124","Pot and pearl barley","Production","Tonnes","288","thousands","3","v108235","1.4.4","","x","","","2"
"2023","Canada","2021A000011124","Pot and pearl barley","Production","Tonnes","288","thousands","3","v108235","1.4.4","","x","","","2"
"2024","Canada","2021A000011124","Pot and pearl barley","Production","Tonnes","288","thousands","3","v108235","1.4.4","","x","","","2"
"2025","Canada","2021A000011124","Pot and pearl barley","Production","Tonnes","288","thousands","3","v108235","1.4.4","","x","","","2"
"2021","Canada","2021A000011124","Pot and pearl barley","Total disposition","Tonnes","288","thousands","3","v54326405","1.4.11","","x","","","2"
"2022","Canada","2021A000011124","Pot and pearl barley","Total disposition","Tonnes","288","thousands","3","v54326405","1.4.11","","x","","","2"
"2023","Canada","2021A000011124","Pot and pearl barley","Total disposition","Tonnes","288","thousands","3","v54326405","1.4.11","","x","","","2"
"2024","Canada","2021A000011124","Pot and pearl barley","Total disposition","Tonnes","288","thousands","3","v54326405","1.4.11","","x","","","2"
"2025","Canada","2021A000011124","Pot and pearl barley","Total disposition","Tonnes","288","thousands","3","v54326405","1.4.11","","x","","","2"
"2021","Canada","2021A000011124","Pot and pearl barley","Domestic disappearance","Tonnes","288","thousands","3","v108232","1.4.1","9.70","","","","2"
"2022","Canada","2021A000011124","Pot and pearl barley","Domestic disappearance","Tonnes","288","thousands","3","v108232","1.4.1","7.25","","","","2"
"2023","Canada","2021A000011124","Pot and pearl barley","Domestic disappearance","Tonnes","288","thousands","3","v108232","1.4.1","6.57","","","","2"
"2024","Canada","2021A000011124","Pot and pearl barley","Domestic disappearance","Tonnes","288","thousands","3","v108232","1.4.1","7.98","","","","2"
"2025","Canada","2021A000011124","Pot and pearl barley","Domestic disappearance","Tonnes","288","thousands","3","v108232","1.4.1","8.26","","","","2"
"2021","Canada","2021A000011124","Pot and pearl barley","Waste","Tonnes","288","thousands","3","v108240","1.4.9","0.00","","","","2"
"2022","Canada","2021A000011124","Pot and pearl barley","Waste","Tonnes","288","thousands","3","v108240","1.4.9","0.00","","","","2"
"2023","Canada","2021A000011124","Pot and pearl barley","Waste","Tonnes","288","thousands","3","v108240","1.4.9","0.00","","","","2"
"2024","Canada","2021A000011124","Pot and pearl barley","Waste","Tonnes","288","thousands","3","v108240","1.4.9","0.00","","","","2"
"2025","Canada","2021A000011124","Pot and pearl barley","Waste","Tonnes","288","thousands","3","v108240","1.4.9","0.00","","","","2"
"2021","Canada","2021A000011124","Pot and pearl barley","Ending stocks","Tonnes","288","thousands","3","v108241","1.4.10","","x","","","2"
"2022","Canada","2021A000011124","Pot and pearl barley","Ending stocks","Tonnes","288","thousands","3","v108241","1.4.10","","x","","","2"
"2023","Canada","2021A000011124","Pot and pearl barley","Ending stocks","Tonnes","288","thousands","3","v108241","1.4.10","","x","","","2"
"2024","Canada","2021A000011124","Pot and pearl barley","Ending stocks","Tonnes","288","thousands","3","v108241","1.4.10","","x","","","2"
"2025","Canada","2021A000011124","Pot and pearl barley","Ending stocks","Tonnes","288","thousands","3","v108241","1.4.10","","x","","","2"
"2021","Canada","2021A000011124","Corn flour and meal","Total supply","Tonnes","288","thousands","3","v108244","1.5.2","","x","","","2"
"2022","Canada","2021A000011124","Corn flour and meal","Total supply","Tonnes","288","thousands","3","v108244","1.5.2","","x","","","2"
"2023","Canada","2021A000011124","Corn flour and meal","Total supply","Tonnes","288","thousands","3","v108244","1.5.2","","x","","","2"
"2024","Canada","2021A000011124","Corn flour and meal","Total supply","Tonnes","288","thousands","3","v108244","1.5.2","","x","","","2"
"2025","Canada","2021A000011124","Corn flour and meal","Total supply","Tonnes","288","thousands","3","v108244","1.5.2","","x","","","2"
"2021","Canada","2021A000011124","Corn flour and meal","Beginning stocks","Tonnes","288","thousands","3","v108245","1.5.3","","x","","","2"
"2022","Canada","2021A000011124","Corn flour and meal","Beginning stocks","Tonnes","288","thousands","3","v108245","1.5.3","","x","","","2"
"2023","Canada","2021A000011124","Corn flour and meal","Beginning stocks","Tonnes","288","thousands","3","v108245","1.5.3","","x","","","2"
"2024","Canada","2021A000011124","Corn flour and meal","Beginning stocks","Tonnes","288","thousands","3","v108245","1.5.3","","x","","","2"
"2025","Canada","2021A000011124","Corn flour and meal","Beginning stocks","Tonnes","288","thousands","3","v108245","1.5.3","","x","","","2"
"2021","Canada","2021A000011124","Corn flour and meal","Production","Tonnes","288","thousands","3","v108246","1.5.4","","x","","","2"
"2022","Canada","2021A000011124","Corn flour and meal","Production","Tonnes","288","thousands","3","v108246","1.5.4","","x","","","2"
"2023","Canada","2021A000011124","Corn flour and meal","Production","Tonnes","288","thousands","3","v108246","1.5.4","","x","","","2"
"2024","Canada","2021A000011124","Corn flour and meal","Production","Tonnes","288","thousands","3","v108246","1.5.4","","x","","","2"
"2025","Canada","2021A000011124","Corn flour and meal","Production","Tonnes","288","thousands","3","v108246","1.5.4","","x","","","2"
"2021","Canada","2021A000011124","Corn flour and meal","Imports","Tonnes","288","thousands","3","v108247","1.5.5","80.06","","","","2"
"2022","Canada","2021A000011124","Corn flour and meal","Imports","Tonnes","288","thousands","3","v108247","1.5.5","71.29","","","","2"
"2023","Canada","2021A000011124","Corn flour and meal","Imports","Tonnes","288","thousands","3","v108247","1.5.5","118.59","","","","2"
"2024","Canada","2021A000011124","Corn flour and meal","Imports","Tonnes","288","thousands","3","v108247","1.5.5","68.57","","","","2"
"2025","Canada","2021A000011124","Corn flour and meal","Imports","Tonnes","288","thousands","3","v108247","1.5.5","70.23","","","","2"
"2021","Canada","2021A000011124","Corn flour and meal","Total disposition","Tonnes","288","thousands","3","v54326406","1.5.11","","x","","","2"
"2022","Canada","2021A000011124","Corn flour and meal","Total disposition","Tonnes","288","thousands","3","v54326406","1.5.11","","x","","","2"
"2023","Canada","2021A000011124","Corn flour and meal","Total disposition","Tonnes","288","thousands","3","v54326406","1.5.11","","x","","","2"
"2024","Canada","2021A000011124","Corn flour and meal","Total disposition","Tonnes","288","thousands","3","v54326406","1.5.11","","x","","","2"
"2025","Canada","2021A000011124","Corn flour and meal","Total disposition","Tonnes","288","thousands","3","v54326406","1.5.11","","x","","","2"
"2021","Canada","2021A000011124","Corn flour and meal","Domestic disappearance","Tonnes","288","thousands","3","v108243","1.5.1","52.10","","","","2"
"2022","Canada","2021A000011124","Corn flour and meal","Domestic disappearance","Tonnes","288","thousands","3","v108243","1.5.1","51.44","","","","2"
"2023","Canada","2021A000011124","Corn flour and meal","Domestic disappearance","Tonnes","288","thousands","3","v108243","1.5.1","87.74","","","","2"
"2024","Canada","2021A000011124","Corn flour and meal","Domestic disappearance","Tonnes","288","thousands","3","v108243","1.5.1","46.96","","","","2"
"2025","Canada","2021A000011124","Corn flour and meal","Domestic disappearance","Tonnes","288","thousands","3","v108243","1.5.1","37.59","","","","2"
"2021","Canada","2021A000011124","Corn flour and meal","Exports","Tonnes","288","thousands","3","v108249","1.5.7","29.38","","","","2"
"2022","Canada","2021A000011124","Corn flour and meal","Exports","Tonnes","288","thousands","3","v108249","1.5.7","21.28","","","","2"
"2023","Canada","2021A000011124","Corn flour and meal","Exports","Tonnes","288","thousands","3","v108249","1.5.7","32.49","","","","2"
"2024","Canada","2021A000011124","Corn flour and meal","Exports","Tonnes","288","thousands","3","v108249","1.5.7","23.56","","","","2"
"2025","Canada","2021A000011124","Corn flour and meal","Exports","Tonnes","288","thousands","3","v108249","1.5.7","34.41","","","","2"
"2021","Canada","2021A000011124","Corn flour and meal","Waste","Tonnes","288","thousands","3","v108251","1.5.9","0.00","","","","2"
"2022","Canada","2021A000011124","Corn flour and meal","Waste","Tonnes","288","thousands","3","v108251","1.5.9","0.00","","","","2"
"2023","Canada","2021A000011124","Corn flour and meal","Waste","Tonnes","288","thousands","3","v108251","1.5.9","0.00","","","","2"
"2024","Canada","2021A000011124","Corn flour and meal","Waste","Tonnes","288","thousands","3","v108251","1.5.9","0.00","","","","2"
"2025","Canada","2021A000011124","Corn flour and meal","Waste","Tonnes","288","thousands","3","v108251","1.5.9","0.00","","","","2"
"2021","Canada","2021A000011124","Corn flour and meal","Ending stocks","Tonnes","288","thousands","3","v108252","1.5.10","","x","","","2"
"2022","Canada","2021A000011124","Corn flour and meal","Ending stocks","Tonnes","288","thousands","3","v108252","1.5.10","","x","","","2"
"2023","Canada","2021A000011124","Corn flour and meal","Ending stocks","Tonnes","288","thousands","3","v108252","1.5.10","","x","","","2"
"2024","Canada","2021A000011124","Corn flour and meal","Ending stocks","Tonnes","288","thousands","3","v108252","1.5.10","","x","","","2"
